show,date,name,gender
Fox News Sunday,2/15/09,Mara Liasson,f
Fox News Sunday,2/15/09,David Axelrod,m
Fox News Sunday,2/15/09,Bill Sammon,m
Fox News Sunday,2/15/09,Eric Schmidt,m
Fox News Sunday,2/15/09,Juan Williams,m
Meet the Press,2/15/09,Eugene Robinson,m
Meet the Press,2/15/09,David Axelrod,m
Meet the Press,2/15/09,Roger Simon,m
Meet the Press,2/15/09,Kimberley Strassel,f
Meet the Press,2/15/09,Ron Brownstein,m
State of the Union,2/15/09,Aaron Schock,m
State of the Union,2/15/09,Robert Gibbs,m
State of the Union,2/15/09,John McCain,m
This Week,2/15/09,Sam Donaldson,m
This Week,2/15/09,Donna Brazile,f
This Week,2/15/09,Maxine Waters,f
This Week,2/15/09,Peter T. King,m
This Week,2/15/09,Charles E. Schumer,m
This Week,2/15/09,George Will,m
This Week,2/15/09,Lindsey Graham,m
This Week,2/15/09,Cokie Roberts,f
Face the Nation,2/22/09,Mitch Daniels,m
Face the Nation,2/22/09,Shaun Donovan,m
Face the Nation,2/22/09,Ted Strickland,m
Face the Nation,2/22/09,Jon Stevens Corzine,m
Fox News Sunday,2/22/09,Edward G. Rendell,m
Fox News Sunday,2/22/09,Jennifer Granholm,f
Fox News Sunday,2/22/09,Bill Kristol,m
Fox News Sunday,2/22/09,Mara Liasson,f
Fox News Sunday,2/22/09,Brit Hume,m
Fox News Sunday,2/22/09,Tim Pawlenty,m
Fox News Sunday,2/22/09,Mark Sanford,m
Fox News Sunday,2/22/09,Juan Williams,m
Meet the Press,2/22/09,Al Hunt,m
Meet the Press,2/22/09,Charlie Crist,m
Meet the Press,2/22/09,Michele Norris,f
Meet the Press,2/22/09,Becky Quick,f
Meet the Press,2/22/09,Bobby Jindal,m
State of the Union,2/22/09,Shaun Donovan,m
State of the Union,2/22/09,Mitch McConnell,m
State of the Union,2/22/09,Arnold Schwarzenegger,m
State of the Union,2/22/09,Deval Patrick,m
State of the Union,2/22/09,Haley Barbour,m
State of the Union,2/22/09,Brian Schweitzer,m
This Week,2/22/09,Arnold Schwarzenegger,m
This Week,2/22/09,Nouriel Rubini,m
This Week,2/22/09,Ben Bernanke,m
This Week,2/22/09,George Will,m
This Week,2/22/09,Paul Krugman,m
This Week,2/22/09,Suzy Welsh,f
Face the Nation,3/1/09,Rahm Emanuel ,m
Fox News Sunday,3/1/09,Paul D. Ryan ,m
Fox News Sunday,3/1/09,Bill Kristol,m
Fox News Sunday,3/1/09,Mara Liasson,f
Fox News Sunday,3/1/09,Brit Hume,m
Fox News Sunday,3/1/09,Mike Mullen,m
Fox News Sunday,3/1/09,Jon Kyl,m
Fox News Sunday,3/1/09,Juan Williams,m
Meet the Press,3/1/09,Harold E. Ford Jr.,m
Meet the Press,3/1/09,Joe Scarborough,m
Meet the Press,3/1/09,Robert M. Gates,m
Meet the Press,3/1/09,Dee Dee Myers,f
Meet the Press,3/1/09,Mike Murphy,m
State of the Union,3/1/09,Tom Price,m
State of the Union,3/1/09,Peter A. DeFazio ,m
State of the Union,3/1/09,Neil Abercrombie,m
State of the Union,3/1/09,Mike Mullen,m
State of the Union,3/1/09,Suze Orman,f
This Week,3/1/09,Katrina vanden Heuvel,f
This Week,3/1/09,Stan Greenberg,m
This Week,3/1/09,Peter Orszag,m
This Week,3/1/09,Eric Cantor ,m
This Week,3/1/09,George Will,m
This Week,3/1/09,Karl Rove,m
Face the Nation,3/8/09,Michael Fletcher,m
Face the Nation,3/8/09,Peter Orszag,m
Face the Nation,3/8/09,John A. Boehner,m
Face the Nation,3/8/09,Kathleen Parker,f
Fox News Sunday,3/8/09,Bill Kristol,m
Fox News Sunday,3/8/09,John McCain,m
Fox News Sunday,3/8/09,Mara Liasson,f
Fox News Sunday,3/8/09,Brit Hume,m
Fox News Sunday,3/8/09,Tim Kaine,m
Fox News Sunday,3/8/09,Juan Williams,m
Meet the Press,3/8/09,Liaquat Ahmed,m
Meet the Press,3/8/09,Charles E. Schumer,m
Meet the Press,3/8/09,Lindsey Graham,m
Meet the Press,3/8/09,Newt Gingrich,m
Meet the Press,3/8/09,Mort Zuckerman,m
Meet the Press,3/8/09,Erin Burnett,f
State of the Union,3/8/09,Antonio Villaraigosa,m
State of the Union,3/8/09,Peter Orszag,m
State of the Union,3/8/09,Eric Cantor ,m
This Week,3/8/09,Thomas Donohue,m
This Week,3/8/09,E.J. Dionne,m
This Week,3/8/09,Evan Bayh,m
This Week,3/8/09,George Will,m
This Week,3/8/09,Cokie Roberts,f
This Week,3/8/09,Richard C. Shelby,m
This Week,3/8/09,David Brooks,m
