show,date,name,gender
Fox News Sunday,3/28/10,Paul D. Ryan ,m
Fox News Sunday,3/28/10,Juan Williams,m
Fox News Sunday,3/28/10,Debbie Wasserman Schultz,f
Fox News Sunday,3/28/10,Bill Kristol,m
Fox News Sunday,3/28/10,Brit Hume,m
Fox News Sunday,3/28/10,Mara Liasson,f
Fox News Sunday,3/28/10,John Cornyn,m
Meet the Press,3/28/10,Charles E. Schumer,m
Meet the Press,3/28/10,Lindsey Graham,m
Meet the Press,3/28/10,Jon Meacham,m
Meet the Press,3/28/10,Doris Kearns Goodwin,f
Meet the Press,3/28/10,Mike Murphy,m
Meet the Press,3/28/10,Bob Shrum,m
State of the Union,3/28/10,Lamar Alexander,m
State of the Union,3/28/10,Barbara A. Mikulski,f
State of the Union,3/28/10,David Axelrod,m
This Week,3/28/10,Edward G. Rendell,m
This Week,3/28/10,Peggy Noonan,f
This Week,3/28/10,Donna Brazile,f
This Week,3/28/10,Haley Barbour,m
This Week,3/28/10,Valerie Jarrett,f
This Week,3/28/10,Paul Krugman,m
This Week,3/28/10,George Will,m
Face the Nation,4/4/10,Nancy Cordes,f
Face the Nation,4/4/10,Michael Eric Dyson,m
Face the Nation,4/4/10,Jan Crawford,f
Face the Nation,4/4/10,David Sanger,m
Face the Nation,4/4/10,Bob Orr,m
Fox News Sunday,4/4/10,Kevin McCarthy,m
Fox News Sunday,4/4/10,Arlen Specter,m
Fox News Sunday,4/4/10,Jon Kyl,m
Meet the Press,4/4/10,Richard Stengel,m
Meet the Press,4/4/10,Christina Romer,f
Meet the Press,4/4/10,David Remnick,m
Meet the Press,4/4/10,Jane Harman,f
Meet the Press,4/4/10,Joseph I. Lieberman,m
Meet the Press,4/4/10,Michael Chertoff,m
State of the Union,4/4/10,John Thompson III,m
State of the Union,4/4/10,Michael Oren,m
State of the Union,4/4/10,Larry Summers,m
This Week,4/4/10,Robert Reich,m
This Week,4/4/10,Alan Greenspan,m
This Week,4/4/10,Karen Finney,f
This Week,4/4/10,Matthew Dowd,m
This Week,4/4/10,George Will,m
This Week,4/4/10,Larry Summers,m
Face the Nation,4/11/10,Jan Crawford,f
Face the Nation,4/11/10,Hillary Rodham Clinton,f
Face the Nation,4/11/10,Robert M. Gates,m
Fox News Sunday,4/11/10,Juan Williams,m
Fox News Sunday,4/11/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,4/11/10,Lamar Alexander,m
Fox News Sunday,4/11/10,Bill Kristol,m
Fox News Sunday,4/11/10,Michele Bachmann,f
Fox News Sunday,4/11/10,Mara Liasson,f
Fox News Sunday,4/11/10,Joseph I. Lieberman,m
Meet the Press,4/11/10,Hillary Rodham Clinton,f
Meet the Press,4/11/10,David Sanger,m
Meet the Press,4/11/10,Robert M. Gates,m
Meet the Press,4/11/10,Patrick J. Leahy,m
Meet the Press,4/11/10,Harold E. Ford Jr.,m
Meet the Press,4/11/10,Kathleen Parker,f
Meet the Press,4/11/10,Jeff Sessions,m
Meet the Press,4/11/10,David Brooks,m
State of the Union,4/11/10,David Simon,m
State of the Union,4/11/10,Haley Barbour,m
State of the Union,4/11/10,Wendell Pierce,m
This Week,4/11/10,Sam Donaldson,m
This Week,4/11/10,Hillary Rodham Clinton,f
This Week,4/11/10,Charles E. Schumer,m
This Week,4/11/10,Arianna Huffington,f
This Week,4/11/10,Jon Kyl,m
This Week,4/11/10,Robert M. Gates,m
This Week,4/11/10,Cokie Roberts,f
This Week,4/11/10,George Will,m
Face the Nation,4/18/10,Scott P. Brown,m
Face the Nation,4/18/10,Kathleen Parker,f
Fox News Sunday,4/18/10,John McCain,m
Fox News Sunday,4/18/10,Juan Williams,m
Fox News Sunday,4/18/10,Bill Kristol,m
Fox News Sunday,4/18/10,Brit Hume,m
Fox News Sunday,4/18/10,Mara Liasson,f
Fox News Sunday,4/18/10,Ray Odierno,m
Meet the Press,4/18/10,Edward G. Rendell,m
Meet the Press,4/18/10,Marsha Blackburn ,f
Meet the Press,4/18/10,Timothy Geithner,m
Meet the Press,4/18/10,Jose Diaz-Balart,m
Meet the Press,4/18/10,Ron Brownstein,m
State of the Union,4/18/10,Mitch McConnell,m
State of the Union,4/18/10,Mark Warner,m
This Week,4/18/10,Bill Clinton,m
Face the Nation,4/25/10,Thomas Friedman,m
Face the Nation,4/25/10,Michael Lewis,m
Face the Nation,4/25/10,Larry Summers,m
Fox News Sunday,4/25/10,Mitch McConnell,m
Fox News Sunday,4/25/10,Alan Kooi Simpson,m
Fox News Sunday,4/25/10,Bill Kristol,m
Fox News Sunday,4/25/10,Erskine Bowles,m
Fox News Sunday,4/25/10,Brit Hume,m
Fox News Sunday,4/25/10,Mara Liasson,f
Fox News Sunday,4/25/10,Bill Williams,m
Meet the Press,4/25/10,Evan Thomas,m
Meet the Press,4/25/10,Michele Norris,f
Meet the Press,4/25/10,Christopher J. Dodd,m
Meet the Press,4/25/10,Richard C. Shelby,m
Meet the Press,4/25/10,David Brooks,m
Meet the Press,4/25/10,Erin Burnett,f
State of the Union,4/25/10,Saxby Chambliss,m
State of the Union,4/25/10,Robert Menendez,m
State of the Union,4/25/10,Jennifer Granholm,f
This Week,4/25/10,Sherrod Brown,m
This Week,4/25/10,Austan Goolsbee,m
This Week,4/25/10,Alexis Glick,f
This Week,4/25/10,Bob Corker,m
This Week,4/25/10,Paul Krugman,m
This Week,4/25/10,George Will,m
This Week,4/25/10,Cynthia Tucker,f
Face the Nation,5/2/10,Mary L. Landrieu,f
Face the Nation,5/2/10,Charlie Melancon,m
Face the Nation,5/2/10,Bill Nelson,m
Face the Nation,5/2/10,Luis V. Gutierrez,m
Face the Nation,5/2/10,J.D. Hayworth,m
Fox News Sunday,5/2/10,Ken Salazar,m
Fox News Sunday,5/2/10,Juan Williams,m
Fox News Sunday,5/2/10,Thad Allen,m
Fox News Sunday,5/2/10,Bill Kristol,m
Fox News Sunday,5/2/10,Brit Hume,m
Fox News Sunday,5/2/10,Mara Liasson,f
Fox News Sunday,5/2/10,Janet Napolitano,f
Fox News Sunday,5/2/10,Marco Rubio,m
Fox News Sunday,5/2/10,Sally Ride,f
Meet the Press,5/2/10,Ken Salazar,m
Meet the Press,5/2/10,Hillary Rodham Clinton,f
Meet the Press,5/2/10,Thad Allen,m
Meet the Press,5/2/10,Lamar Alexander,m
Meet the Press,5/2/10,Charlie Crist,m
Meet the Press,5/2/10,Bill Richardson,m
Meet the Press,5/2/10,Mike Pence,m
Meet the Press,5/2/10,Janet Napolitano,f
Meet the Press,5/2/10,Jennifer Granholm,f
State of the Union,5/2/10,Ken Salazar,m
State of the Union,5/2/10,Charlie Crist,m
State of the Union,5/2/10,Janet Napolitano,f
State of the Union,5/2/10,Marco Rubio,m
This Week,5/2/10,Ken Salazar,m
This Week,5/2/10,Katrina vanden Heuvel,f
This Week,5/2/10,Al Sharpton Jr.,m
This Week,5/2/10,Janet Napolitano,f
This Week,5/2/10,Bill Maher,m
This Week,5/2/10,Matthew Dowd,m
This Week,5/2/10,George Will,m
Face the Nation,5/9/10,Thad Allen,m
Face the Nation,5/9/10,Christopher J. Dodd,m
Face the Nation,5/9/10,John Brennan,m
Face the Nation,5/9/10,Richard C. Shelby,m
Fox News Sunday,5/9/10,Juan Williams,m
Fox News Sunday,5/9/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,5/9/10,Peter T. King,m
Fox News Sunday,5/9/10,Jennifer Griffin,f
Fox News Sunday,5/9/10,Bill Kristol,m
Fox News Sunday,5/9/10,Mara Liasson,f
Fox News Sunday,5/9/10,Joseph I. Lieberman,m
Fox News Sunday,5/9/10,John Brennan,m
Meet the Press,5/9/10,Katty Kay,f
Meet the Press,5/9/10,E.J. Dionne,m
Meet the Press,5/9/10,Eric Holder,m
Meet the Press,5/9/10,David Brooks,m
Meet the Press,5/9/10,Wes Moore,m
State of the Union,5/9/10,Bill Nelson,m
State of the Union,5/9/10,Richard C. Shelby,m
This Week,5/9/10,Rudolph W. Giuliani,m
This Week,5/9/10,Shelby Steele,m
This Week,5/9/10,John Podesta,m
This Week,5/9/10,Robin Wright,f
This Week,5/9/10,George Will,m
This Week,5/9/10,Eric Holder,m
Face the Nation,5/16/10,Jan Crawford,f
Face the Nation,5/16/10,Jeff Zeleny,m
Face the Nation,5/16/10,Dianne Feinstein,f
Face the Nation,5/16/10,Jon Kyl,m
Fox News Sunday,5/16/10,Juan Williams,m
Fox News Sunday,5/16/10,Nina Easton,f
Fox News Sunday,5/16/10,Newt Gingrich,m
Fox News Sunday,5/16/10,Stephen Hayes,m
Fox News Sunday,5/16/10,Brit Hume,m
Fox News Sunday,5/16/10,Laura Bush,f
Meet the Press,5/16/10,Mitch McConnell,m
Meet the Press,5/16/10,Peggy Noonan,f
Meet the Press,5/16/10,Charles E. Schumer,m
Meet the Press,5/16/10,Jonathan Alter,m
Meet the Press,5/16/10,Mike Murphy,m
Meet the Press,5/16/10,Bob Shrum,m
State of the Union,5/16/10,Arlen Specter,m
State of the Union,5/16/10,Joe Sestak,m
State of the Union,5/16/10,Robert F. Bennett,m
This Week,5/16/10,Glenn Greenwald,m
This Week,5/16/10,Greg Craig,m
This Week,5/16/10,Helene Cooper,f
This Week,5/16/10,Ed Gillespie,m
This Week,5/16/10,George Will,m
This Week,5/16/10,Patrick J. Leahy,m
This Week,5/16/10,Jeff Sessions,m
Face the Nation,5/23/10,Lamar Alexander,m
Face the Nation,5/23/10,Robert Gibbs,m
Face the Nation,5/23/10,Joe Sestak,m
Fox News Sunday,5/23/10,Sarah Palin,f
Fox News Sunday,5/23/10,Ginni Thomas,f
Fox News Sunday,5/23/10,Bill Kristol,m
Fox News Sunday,5/23/10,Michael Steele,m
Fox News Sunday,5/23/10,Brit Hume,m
Fox News Sunday,5/23/10,Mara Liasson,f
Fox News Sunday,5/23/10,Tim Kaine,m
Fox News Sunday,5/23/10,Kirsten Powers,f
Meet the Press,5/23/10,Andrea Mitchell,f
Meet the Press,5/23/10,Bob Woodward,m
Meet the Press,5/23/10,Thomas Friedman,m
Meet the Press,5/23/10,Joe Sestak,m
Meet the Press,5/23/10,Paul Gigot,m
Meet the Press,5/23/10,John Cornyn,m
Meet the Press,5/23/10,Robert Menendez,m
State of the Union,5/23/10,Edward G. Rendell,m
State of the Union,5/23/10,Thad Allen,m
State of the Union,5/23/10,Bob Dudley,m
State of the Union,5/23/10,Tim Pawlenty,m
This Week,5/23/10,Sam Donaldson,m
This Week,5/23/10,Donna Brazile,f
This Week,5/23/10,Michael Steele,m
This Week,5/23/10,Tim Kaine,m
This Week,5/23/10,Cokie Roberts,f
This Week,5/23/10,George Will,m
Face the Nation,5/30/10,Edward J. Markey,m
Face the Nation,5/30/10,Sharyl Attkisson,f
Face the Nation,5/30/10,Bob Dudley,m
Face the Nation,5/30/10,Carol Browner,f
Fox News Sunday,5/30/10,Edward G. Rendell,m
Fox News Sunday,5/30/10,Darrell Issa,m
Fox News Sunday,5/30/10,Juan Williams,m
Fox News Sunday,5/30/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,5/30/10,Bill Kristol,m
Fox News Sunday,5/30/10,Tom Day,m
Fox News Sunday,5/30/10,Mike Mullen,m
Fox News Sunday,5/30/10,Bob Dudley,m
Fox News Sunday,5/30/10,Ceci Connolly,f
Meet the Press,5/30/10,E.J. Dionne,m
Meet the Press,5/30/10,Luis V. Gutierrez,m
Meet the Press,5/30/10,Carol Browner,f
Meet the Press,5/30/10,Bob Dudley,m
Meet the Press,5/30/10,J.D. Hayworth,m
Meet the Press,5/30/10,David Brooks,m
State of the Union,5/30/10,David Vitter,m
State of the Union,5/30/10,Jim Webb,m
State of the Union,5/30/10,Mike Mullen,m
State of the Union,5/30/10,Bob Dudley,m
This Week,5/30/10,Clarence Page,m
This Week,5/30/10,Joan Walsh,f
This Week,5/30/10,Matthew Dowd,m
This Week,5/30/10,Bob Dudley,m
This Week,5/30/10,Bobby Jindal,m
This Week,5/30/10,George Will,m
This Week,5/30/10,Colin L. Powell,m
Face the Nation,6/6/10,Dan Balz,m
Face the Nation,6/6/10,Jan Crawford,f
Face the Nation,6/6/10,Thad Allen,m
Face the Nation,6/6/10,Sharyl Attkisson,f
Face the Nation,6/6/10,Bill Nelson,m
Fox News Sunday,6/6/10,Juan Williams,m
Fox News Sunday,6/6/10,Thad Allen,m
Fox News Sunday,6/6/10,Dana Perino,f
Fox News Sunday,6/6/10,Michael Oren,m
Fox News Sunday,6/6/10,Bill Kristol,m
Fox News Sunday,6/6/10,Mara Liasson,f
Fox News Sunday,6/6/10,Haley Barbour,m
State of the Union,6/6/10,Thad Allen,m
State of the Union,6/6/10,Charlie Crist,m
This Week,6/6/10,Thad Allen,m
This Week,6/6/10,Elizabeth (Liz) Cheney,f
This Week,6/6/10,Markos Moulitsas,m
This Week,6/6/10,Arianna Huffington,f
This Week,6/6/10,John Cornyn,m
This Week,6/6/10,George Will,m
This Week,6/6/10,John Kerry,m
Face the Nation,6/13/10,Thad Allen,m
Face the Nation,6/13/10,Charlie Crist,m
Face the Nation,6/13/10,Haley Barbour,m
Face the Nation,6/13/10,Bob Riley,m
Fox News Sunday,6/13/10,Carly Fiorina,f
Fox News Sunday,6/13/10,Juan Williams,m
Fox News Sunday,6/13/10,Bill Kristol,m
Fox News Sunday,6/13/10,Brit Hume,m
Fox News Sunday,6/13/10,Barbara Bush,f
Fox News Sunday,6/13/10,Mara Liasson,f
Fox News Sunday,6/13/10,Susan Rice,f
Meet the Press,6/13/10,Carly Fiorina,f
Meet the Press,6/13/10,Debbie Wasserman Schultz,f
Meet the Press,6/13/10,Doris Kearns Goodwin,f
Meet the Press,6/13/10,Chuck Todd,m
Meet the Press,6/13/10,Roger Simon,m
Meet the Press,6/13/10,David Axelrod,m
State of the Union,6/13/10,James E. Clyburn ,m
State of the Union,6/13/10,Mike Pence,m
State of the Union,6/13/10,Bob Riley,m
This Week,6/13/10,Donna Brazile,f
This Week,6/13/10,Steny H. Hoyer,m
This Week,6/13/10,Robert Reich,m
This Week,6/13/10,John A. Boehner,m
This Week,6/13/10,Thomas M. Davis III,m
This Week,6/13/10,Bill Gates,m
This Week,6/13/10,George Will,m
Face the Nation,6/20/10,Anh Cao,m
Face the Nation,6/20/10,Barbara Boxer,f
Face the Nation,6/20/10,Bill Nelson,m
Face the Nation,6/20/10,Richard C. Shelby,m
Fox News Sunday,6/20/10,Mitch McConnell,m
Fox News Sunday,6/20/10,Janine Turner,f
Fox News Sunday,6/20/10,Juan Williams,m
Fox News Sunday,6/20/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,6/20/10,Bill Kristol,m
Fox News Sunday,6/20/10,Mara Liasson,f
Fox News Sunday,6/20/10,Robert M. Gates,m
Meet the Press,6/20/10,Edward J. Markey,m
Meet the Press,6/20/10,Katty Kay,f
Meet the Press,6/20/10,Mary L. Landrieu,f
Meet the Press,6/20/10,John Hofmeister,m
Meet the Press,6/20/10,Kenneth Feinberg,m
Meet the Press,6/20/10,Haley Barbour,m
State of the Union,6/20/10,Dianne Feinstein,f
State of the Union,6/20/10,Joseph I. Lieberman,m
State of the Union,6/20/10,Richard G. Lugar,m
This Week,6/20/10,Greta Van Susteren,f
This Week,6/20/10,Rahm Emanuel ,m
This Week,6/20/10,Michel Martin,f
This Week,6/20/10,George Will,m
This Week,6/20/10,Richard Haass,m
Face the Nation,6/27/10,Carl Levin,m
Face the Nation,6/27/10,Jan Crawford,f
Face the Nation,6/27/10,David Martin,m
Face the Nation,6/27/10,Patrick J. Leahy,m
Face the Nation,6/27/10,Jeff Sessions,m
Fox News Sunday,6/27/10,Juan Williams,m
Fox News Sunday,6/27/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,6/27/10,Lindsey Graham,m
Fox News Sunday,6/27/10,Bill Kristol,m
Fox News Sunday,6/27/10,Dianne Feinstein,f
Fox News Sunday,6/27/10,Mike Huckabee,m
Fox News Sunday,6/27/10,Mara Liasson,f
Meet the Press,6/27/10,John McCain,m
Meet the Press,6/27/10,Sebastian Junger,m
Meet the Press,6/27/10,Barbara Lee,f
Meet the Press,6/27/10,Barry McCaffrey,m
Meet the Press,6/27/10,Tom Ricks,m
Meet the Press,6/27/10,Wes Moore,m
State of the Union,6/27/10,Saxby Chambliss,m
State of the Union,6/27/10,Jack Reed,m
State of the Union,6/27/10,John Cornyn,m
State of the Union,6/27/10,Robert Menendez,m
This Week,6/27/10,Leon E. Panetta,m
This Week,6/27/10,Robin Wright,f
This Week,6/27/10,Rajiv Chandrasekaran,m
This Week,6/27/10,David Sanger,m
This Week,6/27/10,George Will,m
Face the Nation,7/4/10,Jan Crawford,f
Face the Nation,7/4/10,Anne Kornblut,f
Face the Nation,7/4/10,Peter Baker,m
Face the Nation,7/4/10,Lindsey Graham,m
Fox News Sunday,7/4/10,Jim DeMint,m
Fox News Sunday,7/4/10,Juan Williams,m
Fox News Sunday,7/4/10,Kenneth Feinberg,m
Fox News Sunday,7/4/10,Nina Easton,f
Fox News Sunday,7/4/10,Bill Kristol,m
Fox News Sunday,7/4/10,Stephen Hayes,m
Fox News Sunday,7/4/10,Joseph I. Lieberman,m
State of the Union,7/4/10,Mike Coffman,m
State of the Union,7/4/10,John Boccieri,m
State of the Union,7/4/10,Duncan  Hunter,m
State of the Union,7/4/10,Said Tayeb Jawad,m
This Week,7/4/10,John McCain,m
This Week,7/4/10,Dan Senor,m
This Week,7/4/10,Al Hunt,m
This Week,7/4/10,Paul Krugman,m
This Week,7/4/10,Cynthia Tucker,f
Face the Nation,7/11/10,Eric Holder,m
Fox News Sunday,7/11/10,Juan Williams,m
Fox News Sunday,7/11/10,Bill Kristol,m
Fox News Sunday,7/11/10,Jon Kyl,m
Fox News Sunday,7/11/10,Brit Hume,m
Fox News Sunday,7/11/10,Mara Liasson,f
Fox News Sunday,7/11/10,David Axelrod,m
Meet the Press,7/11/10,Robert Gibbs,m
Meet the Press,7/11/10,Rachel Maddow,f
Meet the Press,7/11/10,Ed Gillespie,m
Meet the Press,7/11/10,Harold E. Ford Jr.,m
Meet the Press,7/11/10,David Brooks,m
State of the Union,7/11/10,Trent Franks,m
State of the Union,7/11/10,Kenneth Feinberg,m
State of the Union,7/11/10,David Axelrod,m
State of the Union,7/11/10,Bill Richardson,m
This Week,7/11/10,David Axelrod,m
This Week,7/11/10,Ron Brownstein,m
This Week,7/11/10,Luis V. Gutierrez,m
This Week,7/11/10,Reihan Salam,m
This Week,7/11/10,Ruth Marcus,f
This Week,7/11/10,George Will,m
This Week,7/11/10,Brian P. Bilbray,m
Face the Nation,7/18/10,Bill Richardson,m
Face the Nation,7/18/10,David Webb,m
Face the Nation,7/18/10,Benjamin Jealous,m
Face the Nation,7/18/10,J.D. Hayworth,m
Fox News Sunday,7/18/10,Juan Williams,m
Fox News Sunday,7/18/10,David Vitter,m
Fox News Sunday,7/18/10,Nina Easton,f
Fox News Sunday,7/18/10,Bill Kristol,m
Fox News Sunday,7/18/10,James E. Clyburn ,m
Fox News Sunday,7/18/10,Brit Hume,m
Fox News Sunday,7/18/10,Steve Chaconas,m
Fox News Sunday,7/18/10,Mike Pence,m
Meet the Press,7/18/10,Pete Sessions ,m
Meet the Press,7/18/10,Chris Van Hollen,m
Meet the Press,7/18/10,John Cornyn,m
Meet the Press,7/18/10,Robert Menendez,m
State of the Union,7/18/10,Mitch McConnell,m
State of the Union,7/18/10,Steny H. Hoyer,m
State of the Union,7/18/10,Mitch Landrieu,m
This Week,7/18/10,Nicolle Wallace,f
This Week,7/18/10,Joseph R. Biden Jr.,m
This Week,7/18/10,Clarence Page,m
This Week,7/18/10,Dee Dee Myers,f
This Week,7/18/10,George Will,m
Face the Nation,7/25/10,Michael Eric Dyson,m
Face the Nation,7/25/10,John Fund,m
Face the Nation,7/25/10,Michael Gerson,m
Face the Nation,7/25/10,Abigail Thernstrom,f
Face the Nation,7/25/10,Cornell West,m
Fox News Sunday,7/25/10,Jesse Jackson,m
Fox News Sunday,7/25/10,Juan Williams,m
Fox News Sunday,7/25/10,Howard Dean,m
Fox News Sunday,7/25/10,Bill Kristol,m
Fox News Sunday,7/25/10,Newt Gingrich,m
Fox News Sunday,7/25/10,Brit Hume,m
Fox News Sunday,7/25/10,Mara Liasson,f
Meet the Press,7/25/10,Rick Santelli,m
Meet the Press,7/25/10,Anita Dunn,f
Meet the Press,7/25/10,Timothy Geithner,m
Meet the Press,7/25/10,E.J. Dionne,m
Meet the Press,7/25/10,Marc Morial,m
Meet the Press,7/25/10,David Brooks,m
State of the Union,7/25/10,John McWhorter,m
State of the Union,7/25/10,Christopher Edley,m
State of the Union,7/25/10,Michael Hayden,m
State of the Union,7/25/10,Steve Forbes,m
State of the Union,7/25/10,Mort Zuckerman,m
This Week,7/25/10,Sam Donaldson,m
This Week,7/25/10,Donna Brazile,f
This Week,7/25/10,Timothy Geithner,m
This Week,7/25/10,Stephen Hayes,m
This Week,7/25/10,Chris Christie,m
This Week,7/25/10,Cokie Roberts,f
Face the Nation,8/1/10,Thomas Saenz,m
Face the Nation,8/1/10,Jon Kyl,m
Face the Nation,8/1/10,Mike Mullen,m
Face the Nation,8/1/10,Richard Haass,m
Fox News Sunday,8/1/10,Mitch McConnell,m
Fox News Sunday,8/1/10,Sarah Palin,f
Fox News Sunday,8/1/10,Juan Williams,m
Fox News Sunday,8/1/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,8/1/10,Bill Kristol,m
Fox News Sunday,8/1/10,John A. Boehner,m
Fox News Sunday,8/1/10,Ceci Connolly,f
Meet the Press,8/1/10,Edward G. Rendell,m
Meet the Press,8/1/10,Mark Halperin,m
Meet the Press,8/1/10,Michael Bloomberg,m
Meet the Press,8/1/10,Doris Kearns Goodwin,f
Meet the Press,8/1/10,Alan Greenspan,m
Meet the Press,8/1/10,Mike Mullen,m
State of the Union,8/1/10,Carl Levin,m
State of the Union,8/1/10,Dan Balz,m
State of the Union,8/1/10,Peter Baker,m
State of the Union,8/1/10,Lindsey Graham,m
This Week,8/1/10,Donna Brazile,f
This Week,8/1/10,Ahmed Rashid,m
This Week,8/1/10,Nancy Pelosi,f
This Week,8/1/10,Robert M. Gates,m
This Week,8/1/10,Paul Krugman,m
This Week,8/1/10,George Will,m
Face the Nation,8/8/10,Dan Balz,m
Face the Nation,8/8/10,Jan Crawford,f
Face the Nation,8/8/10,Thad Allen,m
Face the Nation,8/8/10,David Boies,m
Face the Nation,8/8/10,Tony Perkins,m
Fox News Sunday,8/8/10,Mitch Daniels,m
Fox News Sunday,8/8/10,Ted Olson,m
Fox News Sunday,8/8/10,Juan Williams,m
Fox News Sunday,8/8/10,Elizabeth (Liz) Cheney,f
Fox News Sunday,8/8/10,Michael Landrum,m
Fox News Sunday,8/8/10,Jennifer Loven,f
Fox News Sunday,8/8/10,Bill Kristol,m
Meet the Press,8/8/10,Andrea Mitchell,f
Meet the Press,8/8/10,Todd Purdum,m
Meet the Press,8/8/10,John A. Boehner,m
Meet the Press,8/8/10,Mike Pence,m
Meet the Press,8/8/10,Carol Browner,f
Meet the Press,8/8/10,Harold E. Ford Jr.,m
State of the Union,8/8/10,Thad Allen,m
State of the Union,8/8/10,Robert F. McDonnell,m
State of the Union,8/8/10,Jennifer Granholm,f
This Week,8/8/10,Michael Gerson,m
This Week,8/8/10,John Harris,m
This Week,8/8/10,Gillian Tett,f
This Week,8/8/10,George Packer,m
This Week,8/8/10,Peter Chiarelli,m
This Week,8/8/10,Ray Odierno,m
Face the Nation,8/15/10,Edward G. Rendell,m
Face the Nation,8/15/10,John Harris,m
Face the Nation,8/15/10,Karen Tumulty,f
Face the Nation,8/15/10,Tim Kaine,m
Face the Nation,8/15/10,Ed Rollins,m
Face the Nation,8/15/10,Ed Gillespie,m
Fox News Sunday,8/15/10,Liz Claman,f
Fox News Sunday,8/15/10,Mark Zandi,m
Fox News Sunday,8/15/10,Dana Perino,f
Fox News Sunday,8/15/10,Nina Easton,f
Fox News Sunday,8/15/10,Jack Reed,m
Fox News Sunday,8/15/10,Bill Kristol,m
Fox News Sunday,8/15/10,John Cornyn,m
Fox News Sunday,8/15/10,Ceci Connolly,f
Meet the Press,8/15/10,David Petraeus,m
State of the Union,8/15/10,Kevin McCarthy,m
State of the Union,8/15/10,Chris Van Hollen,m
State of the Union,8/15/10,Tom Wagner,m
This Week,8/15/10,David Ignatius,m
This Week,8/15/10,Chrystia Freeland,f
This Week,8/15/10,Martin Regalia,m
This Week,8/15/10,Jon Stevens Corzine,m
This Week,8/15/10,Matthew Dowd,m
This Week,8/15/10,Bob Corker,m
This Week,8/15/10,Cokie Roberts,f
This Week,8/15/10,Laura D'Andrea Tyson,f
Face the Nation,8/22/10,Greg Mortenson,m
Face the Nation,8/22/10,Lindsey Graham,m
Face the Nation,8/22/10,Ray Odierno,m
Fox News Sunday,8/22/10,Juan Williams,m
Fox News Sunday,8/22/10,Kevin Madden,m
Fox News Sunday,8/22/10,Nina Easton,f
Fox News Sunday,8/22/10,Stephen Hayes,m
Fox News Sunday,8/22/10,Rod Blagojevich,m
Meet the Press,8/22/10,Mitch McConnell,m
Meet the Press,8/22/10,Katty Kay,f
Meet the Press,8/22/10,Richard K. Armey,m
Meet the Press,8/22/10,Rick Lazio,m
Meet the Press,8/22/10,Jeffrey Goldberg,m
Meet the Press,8/22/10,Paul Gigot,m
Meet the Press,8/22/10,Jennifer Granholm,f
State of the Union,8/22/10,William Fallon,m
State of the Union,8/22/10,Richard Myers,m
State of the Union,8/22/10,Zalmay Khalilzad,m
State of the Union,8/22/10,Howard Dean,m
State of the Union,8/22/10,Ray Odierno,m
This Week,8/22/10,Daisy Khan,f
This Week,8/22/10,Judy Woodruff,f
This Week,8/22/10,Al Hunt,m
This Week,8/22/10,Robert Reich,m
This Week,8/22/10,Hamid Karzai,m
This Week,8/22/10,Joy Levitt,f
This Week,8/22/10,George Will,m
Face the Nation,8/29/10,Kendrick B. Meek,m
Face the Nation,8/29/10,Debbie Wasserman Schultz,f
Face the Nation,8/29/10,Joe Miller,m
Face the Nation,8/29/10,Haley Barbour,m
Fox News Sunday,8/29/10,Juan Williams,m
Fox News Sunday,8/29/10,Glenn Beck,m
Fox News Sunday,8/29/10,Kevin Madden,m
Fox News Sunday,8/29/10,Bill Kristol,m
Fox News Sunday,8/29/10,Mara Liasson,f
Fox News Sunday,8/29/10,Carnell Cooper,m
Meet the Press,8/29/10,Brad Pitt,m
Meet the Press,8/29/10,Mary L. Landrieu,f
Meet the Press,8/29/10,Garland Robinette,m
Meet the Press,8/29/10,Douglas Brinkley,m
Meet the Press,8/29/10,Mitch Landrieu,m
Meet the Press,8/29/10,Wendell Pierce,m
State of the Union,8/29/10,Kendrick B. Meek,m
State of the Union,8/29/10,Shaun Donovan,m
State of the Union,8/29/10,Charlie Crist,m
This Week,8/29/10,Jamie Oliver,m
This Week,8/29/10,Donna Brazile,f
This Week,8/29/10,Arne Duncan,m
This Week,8/29/10,Michelle Rhee,f
This Week,8/29/10,Randi Weingarten,f
This Week,8/29/10,Susie Gharib,f
This Week,8/29/10,Richard Haass,m
This Week,8/29/10,George Will,m
Face the Nation,9/5/10,Nancy Cordes,f
Face the Nation,9/5/10,Mark Zandi,m
Face the Nation,9/5/10,Gretchen Morgensen,f
Face the Nation,9/5/10,Jim VandeHei,m
Face the Nation,9/5/10,Laura D'Andrea Tyson,f
Fox News Sunday,9/5/10,John McCain,m
Fox News Sunday,9/5/10,Chris Stirewalt,m
Fox News Sunday,9/5/10,Juan Williams,m
Fox News Sunday,9/5/10,Stephen Hayes,m
Fox News Sunday,9/5/10,Mara Liasson,f
Fox News Sunday,9/5/10,Tim Kaine,m
Meet the Press,9/5/10,Richard Lowry,m
Meet the Press,9/5/10,Charlie Cook,m
Meet the Press,9/5/10,Lindsey Graham,m
